Adjacent Road Lane 0-1m,Adjacent Road Lane 1-3m,Adjacent Severe Hazard 0-1m,Adjacent Severe Hazard 1-3m,Adjacent Sidewalk 0-1m,Adjacent Sidewalk 1-3m,Adjacent Vehicle Parking 0-1m,Adjacent Vehicle Parking 1-3m,Adjacent object or level change 0-1m,Adjacent object or level change 1-3m,Area type,BB Band,BP Band,Bicycle/LV speed differential,Bicycle/LV speed – average,Crossing Facility,Curvature,Delineation,Facility Type,Facility Width per Direction,Facility access,Fixed Obstacle on Facility,Flow Direction,Grade,Heavy vehicle flow,Intersecting Bicycle Facility,Intersection Approach,Intersection or Road Crossing,Light Segregation,Loose or slippery surface,Major Surface Deformation or Drain Opening,Non-Fixed Obstacle on Facility,Number of lanes – adjacent road,Number of lanes – intersecting road,Observed proportion of cargo bikes and mopeds,Overall Risk Level Band,Peak bicycle/LV traffic flow,Peak pedestrian flow along or across facility,Pedestrian Crossing,Property Access,Road AADT,Road operating speed (mean),Road operating speed (unit),Road speed limit,SB Band,Street Lighting,Tram or Train Rails,VB Band,Width Restriction,Line of Sight
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,6000,44.8,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,1,2,2,2,2,1,1,1,1,2,1,2,6000,44.8,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,6000,48.7,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,6000,48.7,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,48.7,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,48.7,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,48.7,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,48.7,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,48.7,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,48.7,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,6000,48.7,1,50,2,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,43.8,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,43.8,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,34.2,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,34.2,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,34.2,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,1.6,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,6,1,1,2,2,1,1,2,2,1,1,2,2,2,2,1,1,2,1,1,1,2,6000,1.6,1,50,2,1,2,2,2,
2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,6000,1.1,1,50,2,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,6,1,1,2,2,1,1,2,2,1,1,2,2,2,2,1,1,3,1,1,2,2,6000,33.1,1,50,2,1,2,3,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,2,6000,3.9,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,3.8,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,39.4,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,39.4,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,39.4,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,39.4,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,39.4,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,39.4,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,26.7,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,26.7,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,26.7,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,26.7,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,26.7,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,19.2,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,19.2,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,19.2,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,46.3,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,2,1,6000,2.6,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,46.0,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,2,2,2,1,1,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,46.0,1,50,1,1,2,1,1,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,34.1,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,34.1,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,34.1,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,35.0,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,19.8,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,2,1,1,2,2,2,1,2,2,1,2,1,1,2,1,1,2,2,6000,40.2,1,50,2,1,2,1,1,2
2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,1,1,3,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,6000,40.2,1,50,2,1,2,1,2,
2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,1,3,1,1,2,2,1,1,2,2,2,1,2,2,1,2,1,1,1,1,1,2,2,6000,40.2,1,50,1,1,2,1,1,
2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,1,3,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,44.7,1,50,1,1,2,1,2,
2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,2,6,1,1,2,2,1,1,2,2,1,1,2,2,2,2,1,1,3,1,1,2,1,6000,44.7,1,50,1,1,2,3,2,
2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,1,1,3,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,6000,30.0,1,50,2,1,2,1,2,
2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,1,1,3,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,6000,30.0,1,50,2,1,2,1,2,
2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,1,3,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,1.5,1,50,1,1,2,1,2,
2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,1,3,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,45.7,1,50,1,1,2,1,2,
2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,1,3,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,45.7,1,50,1,1,2,1,2,
2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,1,3,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,42.6,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,2,2,1,1,2,2,1,2,1,1,3,1,1,2,1,6000,42.6,1,50,2,1,2,3,1,
2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,1,2,2,1,1,2,2,2,1,2,2,1,2,1,1,2,1,1,2,2,6000,42.6,1,50,2,1,2,1,1,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,42.6,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,42.6,1,50,1,1,2,1,1,
1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,1,2,1,2,2,1,1,2,2,2,1,2,1,2,2,1,1,3,1,1,2,2,6000,42.6,1,50,2,1,2,3,2,
1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,1,2,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,6000,42.6,1,50,2,1,2,2,2,
1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,1,2,1,2,2,1,1,2,2,2,1,2,1,2,2,1,1,3,1,1,2,2,6000,42.6,1,50,2,1,2,3,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,6,2,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,3,1,1,2,2,6000,42.6,1,50,1,1,2,3,2,
1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,1,1,3,1,1,2,2,6000,4.6,1,50,3,1,2,2,2,
1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,1,2,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,6000,32.3,1,50,2,1,2,2,2,
1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,1,2,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,6000,32.3,1,50,2,1,2,2,2,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,32.3,1,50,1,1,2,1,1,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,32.3,1,50,1,1,2,1,2,
1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,6000,32.3,1,50,2,1,2,2,1,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,19.9,1,50,1,1,2,1,1,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,2,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,6000,19.9,1,50,1,1,2,1,1,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,6000,19.9,1,50,1,1,2,1,1,
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,2,1,2,6000,19.9,1,50,1,1,2,1,2,
1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,6000,19.9,1,50,1,1,2,2,2,
1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,1,2,6000,19.9,1,50,2,1,2,2,1,
1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,1,2,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,6000,19.9,1,50,2,1,2,1,2,
1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,2,1,2,2,1,2,1,1,2,1,1,2,2,6000,19.9,1,50,2,1,2,2,1,
1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,3,1,1,2,2,6000,19.9,1,50,3,1,2,2,1,
1,2,2,2,2,2,2,2,1,2,2,3,3,1,1,2,1,2,1,1,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,4,1,2,2,2,6000,19.9,1,50,4,1,2,3,1,
2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,1,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,6000,19.9,1,50,2,1,2,1,2,
1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,6,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,6000,19.9,1,50,1,1,2,2,2,
2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,3,2,2,6000,1.2,1,50,2,1,2,1,1,
2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,3,2,2,6000,24.1,1,50,2,1,2,1,1,2
2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,2,1,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,3,1,3,2,2,6000,31.7,1,50,3,1,2,1,1,
2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,3,2,2,6000,24.1,1,50,2,1,2,1,2,
1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,6,1,1,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,6000,24.1,1,50,1,1,2,2,2,
1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,6,1,1,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,6000,24.1,1,50,1,1,2,2,2,
1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,6,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,2.0,1,50,1,1,2,1,2,
2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,6000,2.0,1,50,2,1,2,1,1,
1,2,2,2,2,2,2,2,1,2,2,3,3,1,1,1,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,2,2,2,1,4,1,2,1,2,6000,24.9,1,50,4,1,2,3,1,
1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,6,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,1,3,1,2,1,2,6000,24.9,1,50,2,1,2,3,2,
1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,6,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,1,2,1,2,1,2,6000,31.7,1,50,1,1,2,2,2,
1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,3,1,1,1,2,6000,31.7,1,50,2,1,2,3,2,
1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,3,1,1,2,2,6000,31.7,1,50,3,1,2,3,2,
1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,1,2,1,1,2,1,1,2,2,6000,31.7,1,50,2,1,2,2,1,
1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,2,1,1,2,2,1,1,2,2,2,1,2,2,1,2,1,1,2,1,1,2,2,6000,31.7,1,50,2,1,2,2,1,
1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,1,2,1,1,2,1,1,2,2,6000,31.7,1,50,2,1,2,2,1,
1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,1,2,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,3,2,2,6000,31.7,1,50,2,1,2,2,2,
1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,1,2,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,3,2,2,6000,31.7,1,50,2,1,2,2,2,
1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,1,2,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,3,2,2,6000,31.7,1,50,2,1,2,2,2,
1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,1,2,1,1,2,2,1,1,2,2,2,1,2,2,1,2,1,1,3,1,3,2,2,6000,31.7,1,50,3,1,2,3,1,
1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,1,2,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,6000,31.7,1,50,2,1,2,2,2,
1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,1,2,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,6000,31.7,1,50,2,1,2,2,2,
1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,1,2,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,6000,31.7,1,50,2,1,2,2,2,
1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,1,2,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,6000,1.9,1,50,2,1,2,1,2,
1,2,2,2,1,2,2,2,1,2,2,1,1,1,1,2,2,1,3,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,6000,20.5,1,50,2,1,2,1,2,
1,2,2,2,1,2,2,2,1,2,2,1,1,1,1,2,2,1,3,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,6000,20.5,1,50,2,1,2,1,2,
1,2,2,2,1,2,2,2,1,2,2,1,1,1,1,2,2,1,3,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,6000,20.5,1,50,2,1,2,1,2,
1,2,2,2,1,2,2,2,1,2,2,1,1,1,1,2,2,1,3,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,6000,33.0,1,50,2,1,2,2,2,
1,2,2,2,1,2,2,2,1,2,2,1,1,1,1,2,2,1,3,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,6000,33.0,1,50,2,1,2,2,2,
1,2,2,2,1,2,2,2,1,2,2,1,1,1,1,2,2,1,3,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,6000,33.0,1,50,2,1,2,2,2,
1,2,2,2,1,2,2,2,1,2,2,1,1,1,1,2,2,1,3,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,6000,33.0,1,50,2,1,2,2,2,
1,2,2,2,1,2,2,2,1,2,2,1,1,1,1,2,2,1,3,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,6000,33.0,1,50,2,1,2,2,2,
1,2,2,2,1,2,2,2,1,2,2,1,1,1,1,2,2,1,3,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,6000,39.4,1,50,2,1,2,2,2,
1,2,2,2,1,2,2,2,1,2,2,1,1,1,1,2,2,1,3,1,1,2,2,1,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,6000,39.4,1,50,2,1,2,2,2,
