Image Reference,Treatment Rank,Treatment ID,Name,BB,BP,SB,VB,CycleRAP Score
Project1TPYLor4_1.jpg,1,19,Improve delineation,2.25,2.25,2.25,0.0,6.75
Project1TPYLor4_2.jpg,1,19,Improve delineation,2.25,2.25,4.5,1.073107457644139,10.07310745764414
Project1TPYLor4_2.jpg,2,26,Install traffic calming (mph),2.6999999999999997,2.6999999999999997,5.3999999999999995,0.7485781385953946,11.548578138595394
Project1TPYLor4_2.jpg,3,25,Install traffic calming (km/h),2.6999999999999997,2.6999999999999997,5.3999999999999995,1.0792351838375278,11.879235183837526
Project1TPYLor4_3.jpg,1,19,Improve delineation,2.25,2.25,4.5,1.073107457644139,10.07310745764414
Project1TPYLor4_3.jpg,2,26,Install traffic calming (mph),2.6999999999999997,2.6999999999999997,5.3999999999999995,0.7485781385953946,11.548578138595394
Project1TPYLor4_3.jpg,3,25,Install traffic calming (km/h),2.6999999999999997,2.6999999999999997,5.3999999999999995,1.0792351838375278,11.879235183837526
Project1TPYLor4_4.jpg,1,19,Improve delineation,2.25,2.25,4.5,1.073107457644139,10.07310745764414
Project1TPYLor4_4.jpg,2,26,Install traffic calming (mph),2.6999999999999997,2.6999999999999997,5.3999999999999995,0.7485781385953946,11.548578138595394
Project1TPYLor4_4.jpg,3,25,Install traffic calming (km/h),2.6999999999999997,2.6999999999999997,5.3999999999999995,1.0792351838375278,11.879235183837526
Project1TPYLor4_5.jpg,1,19,Improve delineation,2.25,2.25,4.5,1.073107457644139,10.07310745764414
Project1TPYLor4_5.jpg,2,26,Install traffic calming (mph),2.6999999999999997,2.6999999999999997,5.3999999999999995,0.7485781385953946,11.548578138595394
Project1TPYLor4_5.jpg,3,25,Install traffic calming (km/h),2.6999999999999997,2.6999999999999997,5.3999999999999995,1.0792351838375278,11.879235183837526
Project1TPYLor4_6.jpg,1,19,Improve delineation,2.25,2.25,4.5,1.073107457644139,10.07310745764414
Project1TPYLor4_6.jpg,2,26,Install traffic calming (mph),2.6999999999999997,2.6999999999999997,5.3999999999999995,0.7485781385953946,11.548578138595394
Project1TPYLor4_6.jpg,3,25,Install traffic calming (km/h),2.6999999999999997,2.6999999999999997,5.3999999999999995,1.0792351838375278,11.879235183837526
Project1TPYLor4_7.jpg,1,19,Improve delineation,2.25,2.25,2.25,0.0,6.75
Project1TPYLor4_7.jpg,2,25,Install traffic calming (km/h),2.6999999999999997,2.6999999999999997,2.6999999999999997,0.0,8.1
Project1TPYLor4_7.jpg,3,26,Install traffic calming (mph),2.6999999999999997,2.6999999999999997,2.6999999999999997,0.0,8.1
Project1TPYLor4_8.jpg,1,19,Improve delineation,2.25,2.25,4.5,0.5840809162541309,9.58408091625413
